,Total Value
2022-03-15 00:00:00,1294994.7173118591
2022-03-16 00:00:00,1309069.3945884705
2022-03-17 00:00:00,1322312.9075050354
2022-03-18 00:00:00,1332652.6029586792
2022-03-21 00:00:00,1324242.0157432556
2022-03-22 00:00:00,1331923.3967781067
2022-03-23 00:00:00,1307127.6322364807
2022-03-24 00:00:00,1322907.2810173035
2022-03-25 00:00:00,1335554.2343139648
2022-03-28 00:00:00,1348621.0969924927
2022-03-29 00:00:00,1375774.3476867676
2022-03-30 00:00:00,1374111.5900993347
2022-03-31 00:00:00,1359926.7957687378
2022-04-01 00:00:00,1369386.623096466
2022-04-04 00:00:00,1363413.6917114258
2022-04-05 00:00:00,1362130.700302124
2022-04-06 00:00:00,1362860.9580993652
2022-04-07 00:00:00,1367286.3104820251
2022-04-08 00:00:00,1369083.9100837708
2022-04-11 00:00:00,1346772.0306396484
2022-04-12 00:00:00,1338456.4086914062
2022-04-13 00:00:00,1345581.4103126526
2022-04-14 00:00:00,1342305.4098129272
2022-04-18 00:00:00,1341514.4345283508
2022-04-19 00:00:00,1378891.4051055908
2022-04-20 00:00:00,1390259.433555603
2022-04-21 00:00:00,1377459.4184875488
2022-04-22 00:00:00,1335723.4331130981
2022-04-25 00:00:00,1344877.4150848389
2022-04-26 00:00:00,1304597.4200248718
2022-04-27 00:00:00,1308615.4353141785
2022-04-28 00:00:00,1336828.4337997437
2022-04-29 00:00:00,1300511.4198684692
2022-05-02 00:00:00,1307412.4280929565
2022-05-03 00:00:00,1315713.4135246277
2022-05-04 00:00:00,1370376.4109611511
2022-05-05 00:00:00,1327094.4294929504
2022-05-06 00:00:00,1315200.4263877869
2022-05-09 00:00:00,1262282.4380874634
2022-05-10 00:00:00,1255891.2007331848
2022-05-11 00:00:00,1232266.5460586548
2022-05-12 00:00:00,1234434.2524528503
2022-05-13 00:00:00,1263432.711315155
2022-05-16 00:00:00,1269315.1488304138
2022-05-17 00:00:00,1292210.3969573975
2022-05-18 00:00:00,1248341.8244361877
2022-05-19 00:00:00,1261398.722743988
2022-05-20 00:00:00,1272746.4742660522
2022-05-23 00:00:00,1283525.3724098206
2022-05-24 00:00:00,1283944.8246955872
2022-05-25 00:00:00,1287619.029045105
2022-05-26 00:00:00,1306939.1138076782
2022-05-27 00:00:00,1328448.0669021606
2022-05-31 00:00:00,1309728.9867401123
2022-06-01 00:00:00,1302186.6411209106
2022-06-02 00:00:00,1323902.062702179
2022-06-03 00:00:00,1310605.713558197
2022-06-06 00:00:00,1310993.3440208435
2022-06-07 00:00:00,1326698.6022949219
2022-06-08 00:00:00,1312461.0485076904
2022-06-09 00:00:00,1281005.000114441
2022-06-10 00:00:00,1249444.7538375854
2022-06-13 00:00:00,1220029.757976532
2022-06-14 00:00:00,1218909.7529411316
2022-06-15 00:00:00,1224032.7563285828
2022-06-16 00:00:00,1217951.758480072
2022-06-17 00:00:00,1220517.7535057068
2022-06-21 00:00:00,1219550.7605552673
2022-06-22 00:00:00,1227536.7381095886
2022-06-23 00:00:00,1254231.7648887634
2022-06-24 00:00:00,1285862.7539634705
2022-06-27 00:00:00,1285417.7594184875
2022-06-28 00:00:00,1256091.7464256287
2022-06-29 00:00:00,1261462.7636909485
2022-06-30 00:00:00,1251556.7559242249
2022-07-01 00:00:00,1273735.7661247253
2022-07-05 00:00:00,1284776.748085022
2022-07-06 00:00:00,1289496.7514038086
2022-07-07 00:00:00,1297331.75907135
2022-07-08 00:00:00,1291646.7540740967
2022-07-11 00:00:00,1284106.7517280579
2022-07-12 00:00:00,1278679.7574996948
2022-07-13 00:00:00,1273973.7594604492
2022-07-14 00:00:00,1255574.7553825378
2022-07-15 00:00:00,1274953.748703003
2022-07-18 00:00:00,1267189.656829834
2022-07-19 00:00:00,1310296.750831604
2022-07-20 00:00:00,1328678.4713745117
2022-07-21 00:00:00,1351717.2183036804
2022-07-22 00:00:00,1344778.7121772766
2022-07-25 00:00:00,1345810.7403755188
2022-07-26 00:00:00,1333638.1209373474
2022-07-27 00:00:00,1364650.8924484253
2022-07-28 00:00:00,1405419.013118744
2022-07-29 00:00:00,1418839.1847610474
2022-08-01 00:00:00,1413233.9043617249
2022-08-02 00:00:00,1406657.9714775085
2022-08-03 00:00:00,1425204.5958518982
2022-08-04 00:00:00,1418850.3825187683
2022-08-05 00:00:00,1416099.240398407
2022-08-08 00:00:00,1429452.5519371033
2022-08-09 00:00:00,1416797.970867157
2022-08-10 00:00:00,1458834.9113464355
2022-08-11 00:00:00,1459345.7291603088
2022-08-12 00:00:00,1490460.509300232
2022-08-15 00:00:00,1489248.3145713806
2022-08-16 00:00:00,1492457.73935318
2022-08-17 00:00:00,1476877.0859718323
2022-08-18 00:00:00,1479492.5948143005
2022-08-19 00:00:00,1456490.537261963
2022-08-22 00:00:00,1441263.5672569275
2022-08-23 00:00:00,1443493.5534477234
2022-08-24 00:00:00,1446347.2140312195
2022-08-25 00:00:00,1455115.2148246765
2022-08-26 00:00:00,1405621.5700149536
2022-08-29 00:00:00,1397116.2123680115
2022-08-30 00:00:00,1381476.2097358704
2022-08-31 00:00:00,1379504.8692703247
2022-09-01 00:00:00,1377211.5305900574
2022-09-02 00:00:00,1375220.8760261536
2022-09-06 00:00:00,1371995.8737373352
2022-09-07 00:00:00,1374379.87947464
2022-09-08 00:00:00,1384571.870136261
2022-09-09 00:00:00,1399611.8830680847
2022-09-12 00:00:00,1413410.886478424
2022-09-13 00:00:00,1365780.8798789978
2022-09-14 00:00:00,1369113.8770103455
2022-09-15 00:00:00,1365879.8800468445
2022-09-16 00:00:00,1354296.8579292297
2022-09-19 00:00:00,1359568.8788414001
2022-09-20 00:00:00,1337865.8619880676
2022-09-21 00:00:00,1313753.8443565369
2022-09-22 00:00:00,1313547.8489875793
2022-09-23 00:00:00,1295096.5504646301
2022-09-26 00:00:00,1280483.9692115784
2022-09-27 00:00:00,1272247.428226471
2022-09-28 00:00:00,1286963.1989479065
2022-09-29 00:00:00,1263326.9417762756
2022-09-30 00:00:00,1242009.3752861023
2022-10-03 00:00:00,1267289.113521576
2022-10-04 00:00:00,1310849.1337776184
2022-10-05 00:00:00,1311340.6177520752
2022-10-06 00:00:00,1304269.393157959
2022-10-07 00:00:00,1277473.383808136
2022-10-10 00:00:00,1245112.642288208
2022-10-11 00:00:00,1226961.9004249573
2022-10-12 00:00:00,1221545.8877563477
2022-10-13 00:00:00,1241883.8940620422
2022-10-14 00:00:00,1212964.3951416016
2022-10-17 00:00:00,1236487.3739242554
2022-10-18 00:00:00,1255214.8885726929
2022-10-19 00:00:00,1245687.6400470734
2022-10-20 00:00:00,1236236.1453056335
2022-10-21 00:00:00,1257622.6289749146
2022-10-24 00:00:00,1265994.8852539062
2022-10-25 00:00:00,1295728.6191940308
2022-10-26 00:00:00,1292200.138950348
2022-10-27 00:00:00,1287874.1269111633
2022-10-28 00:00:00,1316017.38986969
2022-10-31 00:00:00,1305463.882446289
2022-11-01 00:00:00,1296520.8807945251
2022-11-02 00:00:00,1276958.8735580444
2022-11-03 00:00:00,1273930.6338310242
2022-11-04 00:00:00,1276305.3861618042
2022-11-07 00:00:00,1292116.882801056
2022-11-08 00:00:00,1299129.8739433289
2022-11-09 00:00:00,1280852.8648376465
2022-11-10 00:00:00,1348415.3792381287
2022-11-11 00:00:00,1363080.3656578064
2022-11-14 00:00:00,1346546.3829040527
2022-11-15 00:00:00,1360937.3607635498
2022-11-16 00:00:00,1336902.386188507
2022-11-17 00:00:00,1329914.3662452698
2022-11-18 00:00:00,1341569.3684577942
2022-11-21 00:00:00,1343446.3865280151
2022-11-22 00:00:00,1346394.3778038025
2022-11-23 00:00:00,1354085.8717918396
2022-11-25 00:00:00,1356431.8493843079
2022-11-28 00:00:00,1342150.376033783
2022-11-29 00:00:00,1337017.3570632935
2022-11-30 00:00:00,1363396.3576316833
2022-12-01 00:00:00,1360760.8749389648
2022-12-02 00:00:00,1360545.8802223206
2022-12-05 00:00:00,1338906.3853263855
2022-12-06 00:00:00,1320284.3817710876
2022-12-07 00:00:00,1320295.3800201416
2022-12-08 00:00:00,1331227.390384674
2022-12-09 00:00:00,1313102.3809432983
2022-12-12 00:00:00,1329159.3930244446
2022-12-13 00:00:00,1340525.375175476
2022-12-14 00:00:00,1329244.3751335144
2022-12-15 00:00:00,1308813.364124298
2022-12-16 00:00:00,1290942.3817634583
2022-12-19 00:00:00,1284716.373348236
2022-12-20 00:00:00,1283918.370437622
2022-12-21 00:00:00,1288618.3925628662
2022-12-22 00:00:00,1272590.3816223145
2022-12-23 00:00:00,1296193.3860778809
2022-12-27 00:00:00,1303972.3846435547
2022-12-28 00:00:00,1276054.379081726
2022-12-29 00:00:00,1290340.3799057007
2022-12-30 00:00:00,1291508.384513855
2023-01-03 00:00:00,1265462.3891830444
2023-01-04 00:00:00,1283621.3996887207
2023-01-05 00:00:00,1286004.3928146362
2023-01-06 00:00:00,1303100.6669044495
2023-01-09 00:00:00,1297879.8132896423
2023-01-10 00:00:00,1313085.512828827
2023-01-11 00:00:00,1332186.139202118
2023-01-12 00:00:00,1343236.743068695
2023-01-13 00:00:00,1355821.749305725
2023-01-17 00:00:00,1347410.0962638855
2023-01-18 00:00:00,1327197.407245636
2023-01-19 00:00:00,1314255.8935165405
2023-01-20 00:00:00,1335770.6143379211
2023-01-23 00:00:00,1349224.3458747864
2023-01-24 00:00:00,1341127.8329849243
2023-01-25 00:00:00,1343009.1566085815
2023-01-26 00:00:00,1360990.2438163757
2023-01-27 00:00:00,1364829.1291236877
2023-01-30 00:00:00,1345031.723690033
